"","tissue","ENSG00000104814"
"1155","Esophagus",1.631
"1156","Stomach",1.285
"1157","Small Intestine",5.022
"1158","Colon",3.423
"1159","Brain",1.285
"1160","Skin",2.536
"1161","Esophagus",4.541
"1162","Colon",3.907
"1163","Brain",0.789
"1164","Skin",1.558
"1165","Thyroid",5.286
"1166","Esophagus",0.5051
"1167","Liver",0.651
"1168","Stomach",2.916
"1169","Colon",1.05
"1170","Brain",1.432
"1171","Skin",2.491
"1172","Lung",11.79
"1173","Esophagus",4.502
"1174","Colon",15.15
"1175","Skin",0.9795
"1176","Thyroid",4.468
"1177","Lung",10.08
"1178","Esophagus",4.508
"1179","Pancreas",1.078
"1180","Brain",0.7878
"1181","Skin",2.069
"1182","Pancreas",0.4291
"1183","Esophagus",1.078
"1184","Brain",1.49
"1185","Brain",2.114
"1186","Skin",2.934
"1187","Thyroid",4.079
"1188","Liver",1.545
"1189","Breast",4.949
"1190","Esophagus",2.49
"1191","Colon",18.49
"1192","Lung",7.71
"1193","Thyroid",1.38
"1194","Skin",2.196
"1195","Pancreas",0.06615
"1196","Prostate",3.193
"1197","Breast",0.6759
"1198","Small Intestine",17.93
"1199","Colon",2.69
"1200","Liver",0.6034
"1201","Esophagus",5.246
"1202","Stomach",1.68
"1203","Lung",7.118
"1204","Esophagus",7.082
"1205","Pancreas",0.8751
"1206","Colon",8.082
"1207","Stomach",4.37
"1208","Skin",4.904
"1209","Brain",0.4637
"1210","Thyroid",3.234
"1211","Lung",9.212
"1212","Skin",1.27
"1213","Esophagus",6.169
"1214","Brain",1.496
"1215","Skin",1.305
"1216","Lung",6.63
"1217","Esophagus",2.759
"1218","Ovary",1.6
"1219","Uterus",2.346
"1220","Colon",2.079
"1221","Thyroid",1.409
"1222","Lung",4.17
"1223","Skin",4.186
"1224","Prostate",2.004
"1225","Breast",2.246
"1226","Colon",0.7064
"1227","Small Intestine",15.37
"1228","Esophagus",5.946
"1229","Stomach",1.398
"1230","Brain",0.8866
"1231","Skin",2.988
"1232","Thyroid",4.934
"1233","Lung",32.07
"1234","Esophagus",0.6238
"1235","Liver",1.633
"1236","Prostate",1.743
"1237","Prostate",3.471
"1238","Esophagus",1.776
"1239","Skin",1.751
"1240","Thyroid",10.78
"1241","Lung",8.788
"1242","Pancreas",0.5667
"1243","Colon",2.803
"1244","Small Intestine",65.35
"1245","Stomach",8.611
"1246","Ovary",0.9142
"1247","Uterus",2.323
"1248","Breast",1.268
"1249","Skin",3.536
"1250","Esophagus",4.459
"1251","Skin",2.116
"1252","Lung",10.33
"1253","Liver",2.214
"1254","Esophagus",14.87
"1255","Breast",0.7187
"1256","Brain",1.641
"1257","Brain",0.7686
"1258","Thyroid",7.609
"1259","Skin",3.692
"1260","Brain",1.564
"1261","Thyroid",4
"1262","Lung",6.575
"1263","Esophagus",1.889
"1264","Colon",2.127
"1265","Skin",2.274
"1266","Brain",0.8908
"1267","Skin",1.602
"1268","Thyroid",3.292
"1269","Ovary",1.227
"1270","Kidney",1.832
"1271","Lung",9.192
"1272","Esophagus",9.605
"1273","Stomach",5.167
"1274","Pancreas",0.6564
"1275","Skin",3.831
"1276","Colon",7.903
"1277","Breast",2.454
"1278","Skin",1.49
"1279","Breast",1.062
"1280","Lung",4.821
"1281","Esophagus",2.512
"1282","Pancreas",0.5625
"1283","Stomach",2.321
"1284","Liver",0.6392
"1285","Colon",2.977
"1286","Skin",1.85
"1287","Breast",4.081
"1288","Lung",10.61
"1289","Liver",2.248
"1290","Esophagus",1.537
"1291","Stomach",2.939
"1292","Colon",4.611
"1293","Ovary",0.9022
"1294","Skin",2.41
"1295","Thyroid",2.995
"1296","Lung",5.658
"1297","Esophagus",4.832
"1298","Pancreas",0.5596
"1299","Prostate",3.276
"1300","Colon",2.993
"1301","Pancreas",0.3856
"1302","Thyroid",4.658
"1303","Esophagus",3.177
"1304","Skin",2.07
"1305","Stomach",2.759
"1306","Brain",0.4275
"1307","Skin",5.265
"1308","Thyroid",5.483
"1309","Liver",1.178
"1310","Esophagus",1.15
"1311","Breast",2.128
"1312","Brain",1.2
"1313","Thyroid",4.919
"1314","Skin",8.63
"1315","Lung",22.88
"1316","Colon",4.756
"1317","Prostate",4.841
"1318","Skin",3.881
"1319","Lung",13.39
"1320","Esophagus",2.687
"1321","Colon",9.49
"1322","Brain",1.066
"1323","Skin",2.554
"1324","Thyroid",3.491
"1325","Lung",4.455
"1326","Liver",1.8
"1327","Kidney",7.241
"1328","Breast",3.506
"1329","Brain",1.038
"1330","Skin",5.914
"1331","Thyroid",4.53
"1332","Lung",42.19
"1333","Liver",1.516
"1334","Colon",9.368
"1335","Skin",4.944
"1336","Liver",2.199
"1337","Lung",10.87
"1338","Esophagus",1.018
"1339","Colon",20.58
"1340","Prostate",4.731
"1341","Lung",11.32
"1342","Thyroid",4.263
"1343","Liver",2.127
"1344","Pancreas",0.6179
"1345","Esophagus",1.982
"1346","Skin",3.931
"1347","Brain",0.4582
"1348","Skin",3.71
"1349","Thyroid",5.028
"1350","Lung",24.59
"1351","Esophagus",0.2038
"1352","Prostate",1.376
"1353","Small Intestine",111.8
"1354","Colon",5.316
"1355","Thyroid",1.853
"1356","Skin",2.983
"1357","Lung",4.617
"1358","Pancreas",0.6881
"1359","Liver",0.9892
"1360","Kidney",0.3705
"1361","Small Intestine",101.5
"1362","Esophagus",2.555
"1363","Skin",1.637
"1364","Thyroid",2.51
"1365","Colon",0.8413
"1366","Skin",1.063
"1367","Breast",4.978
"1368","Liver",0.7021
"1369","Colon",1.052
"1370","Brain",1.907
"1371","Skin",3.122
"1372","Lung",11.33
"1373","Esophagus",0.3409
"1374","Thyroid",3.831
"1375","Brain",3.473
"1376","Skin",5.468
"1377","Prostate",6.227
"1378","Thyroid",7.313
"1379","Lung",17.23
"1380","Breast",2.99
"1381","Liver",1.952
"1382","Thyroid",17.02
"1383","Pancreas",0.4282
"1384","Esophagus",1.498
"1385","Lung",23.03
"1386","Colon",2.035
"1387","Ovary",1.278
"1388","Skin",2.312
"1389","Breast",3.789
"1390","Uterus",2.501
"1391","Brain",1.992
"1392","Thyroid",3.105
"1393","Thyroid",3.178
"1394","Esophagus",2.826
"1395","Stomach",1.838
"1396","Breast",2.033
"1397","Skin",2.156
"1398","Brain",1.423
"1399","Skin",4.168
"1400","Lung",14.35
"1401","Liver",2.15
"1402","Esophagus",1.841
"1403","Stomach",2.006
"1404","Prostate",1.002
"1405","Brain",2.712
"1406","Skin",3.925
"1407","Esophagus",2.065
"1408","Uterus",3.259
"1409","Brain",0.9593
"1410","Thyroid",8.64
"1411","Skin",2.277
"1412","Ovary",2.015
"1413","Uterus",1.838
"1414","Colon",1.987
"1415","Esophagus",1.802
"1416","Thyroid",30.63
"1417","Lung",7.422
"1418","Pancreas",0.2369
"1419","Esophagus",1.64
"1420","Stomach",5.747
"1421","Skin",3.872
"1422","Colon",0.9877
"1423","Small Intestine",106.1
"1424","Breast",9.551
"1425","Ovary",2.201
"1426","Uterus",3.211
"1427","Brain",1.203
"1428","Skin",4.024
"1429","Breast",1.231
"1430","Thyroid",2.404
"1431","Lung",11.25
"1432","Esophagus",1.038
"1433","Stomach",6.018
"1434","Prostate",2.238
"1435","Colon",3.258
"1436","Skin",1.019
"1437","Thyroid",3.391
"1438","Liver",0.417
"1439","Esophagus",0.9929
"1440","Brain",0.6016
"1441","Thyroid",2.046
"1442","Lung",2.814
"1443","Pancreas",0.1879
"1444","Colon",2.453
"1445","Skin",1.622
"1446","Small Intestine",11.94
"1447","Kidney",0.1804
"1448","Brain",1.691
"1449","Skin",2.708
"1450","Thyroid",6.676
"1451","Lung",24.42
"1452","Esophagus",4.727
"1453","Kidney",0.4386
"1454","Colon",5.624
"1455","Prostate",2.215
"1456","Brain",2.703
"1457","Skin",2.771
"1458","Thyroid",8.524
"1459","Lung",11.1
"1460","Esophagus",2.238
"1461","Liver",1.787
"1462","Ovary",2.32
"1463","Colon",2.931
"1464","Stomach",1.931
"1465","Lung",8.773
"1466","Pancreas",0.5378
"1467","Esophagus",2.301
"1468","Stomach",2.403
"1469","Prostate",2.227
"1470","Skin",5.683
"1471","Breast",2.228
"1472","Small Intestine",6.943
"1473","Colon",2.746
"1474","Lung",9.938
"1475","Liver",0.7398
"1476","Esophagus",1.332
"1477","Stomach",1.093
"1478","Colon",0.8377
"1479","Skin",1.725
"1480","Brain",1.037
"1481","Skin",0.4348
"1482","Esophagus",0.6105
"1483","Breast",2.676
"1484","Lung",20.24
"1485","Colon",2.27
"1486","Thyroid",3.594
"1487","Prostate",1.435
"1488","Brain",1.529
"1489","Skin",2.466
"1490","Lung",13.42
"1491","Kidney",0.4054
"1492","Thyroid",1.463
"1493","Lung",9.033
"1494","Skin",3.401
"1495","Esophagus",0.5367
"1496","Stomach",2.833
"1497","Prostate",2.216
"1498","Breast",1.404
"1499","Pancreas",0.3684
"1500","Colon",2.077
"1501","Small Intestine",70.14
"1502","Brain",2.092
"1503","Skin",4.894
"1504","Breast",3.034
"1505","Thyroid",5.383
"1506","Lung",7.583
"1507","Liver",2.082
"1508","Esophagus",2.143
"1509","Esophagus",1.759
"1510","Colon",0.8573
"1511","Breast",4.052
"1512","Skin",0.7219
"1513","Colon",11.93
"1514","Esophagus",2.598
"1515","Thyroid",3.102
"1516","Prostate",1.916
"1517","Breast",0.7844
"1518","Thyroid",2.3
"1519","Esophagus",2.573
"1520","Stomach",8.053
"1521","Pancreas",0.9164
"1522","Colon",1.971
"1523","Skin",1.349
"1524","Brain",0.2309
"1525","Skin",1.782
"1526","Brain",2.011
"1527","Skin",3.102
"1528","Lung",9.497
"1529","Liver",1.87
"1530","Esophagus",2.45
"1531","Lung",7.455
"1532","Pancreas",0.4185
"1533","Ovary",1.405
"1534","Uterus",2.422
"1535","Esophagus",3.751
"1536","Stomach",2.661
"1537","Thyroid",11.61
"1538","Skin",2.948
"1539","Colon",0.8825
"1540","Brain",1.698
"1541","Skin",4.371
"1542","Esophagus",1.218
"1543","Thyroid",2.872
"1544","Lung",6.449
"1545","Colon",7.742
"1546","Brain",0.7339
"1547","Skin",3.944
"1548","Breast",10.29
"1549","Lung",9.805
"1550","Brain",2.029
"1551","Skin",2.381
"1552","Lung",8.444
"1553","Brain",0.308
"1554","Skin",3.907
"1555","Esophagus",2.993
"1556","Uterus",2.723
"1557","Thyroid",9.76
"1558","Liver",2.024
"1559","Esophagus",1.811
"1560","Stomach",3.911
"1561","Colon",2.279
"1562","Pancreas",1.743
"1563","Skin",2.642
"1564","Lung",13.98
"1565","Esophagus",5.127
"1566","Stomach",2.551
"1567","Pancreas",0.4204
"1568","Skin",0.8364
"1569","Breast",8.134
"1570","Skin",2.567
"1571","Thyroid",7.744
"1572","Skin",2.249
"1573","Pancreas",0.7106
"1574","Prostate",5.458
"1575","Esophagus",2.189
"1576","Thyroid",5.995
"1577","Pancreas",0.5412
"1578","Esophagus",5.388
"1579","Colon",1.703
"1580","Skin",0.8897
"1581","Small Intestine",4.931
"1582","Stomach",3.194
"1583","Prostate",0.6156
"1584","Skin",4.048
"1585","Thyroid",1.475
"1586","Lung",10.04
"1587","Pancreas",0.4952
"1588","Prostate",1.747
"1589","Esophagus",1.353
"1590","Stomach",0.7779
"1591","Colon",1.433
"1592","Breast",1.937
"1593","Lung",4.841
"1594","Esophagus",3.827
"1595","Stomach",9.421
"1596","Colon",1.299
"1597","Skin",1.772
"1598","Thyroid",15.59
"1599","Stomach",2.433
"1600","Pancreas",0.4011
"1601","Esophagus",14.12
"1602","Uterus",1.55
"1603","Small Intestine",10.04
"1604","Skin",2.059
"1605","Brain",1.276
"1606","Skin",2.022
"1607","Lung",15.42
"1608","Thyroid",49.85
"1609","Esophagus",2.317
"1610","Pancreas",0.1494
"1611","Ovary",1.989
"1612","Colon",12.66
"1613","Uterus",2.479
"1614","Esophagus",1.666
"1615","Small Intestine",26.86
"1616","Pancreas",0.2805
"1617","Skin",2.683
"1618","Brain",1.137
"1619","Thyroid",7.52
"1620","Breast",1.84
"1621","Lung",21.01
"1622","Liver",0.6379
"1623","Pancreas",0.6885
"1624","Skin",3.554
"1625","Prostate",9.904
"1626","Skin",5.054
"1627","Lung",14.94
"1628","Thyroid",2.624
"1629","Pancreas",0.7923
"1630","Esophagus",1.632
"1631","Small Intestine",84.56
"1632","Colon",4.969
"1633","Skin",0.2682
"1634","Thyroid",1.501
"1635","Breast",1.521
"1636","Pancreas",0.5154
"1637","Esophagus",1.419
"1638","Stomach",1.05
"1639","Ovary",1.307
"1640","Small Intestine",51.65
"1641","Skin",0.2618
"1642","Thyroid",2.257
"1643","Pancreas",0.2215
"1644","Ovary",1.378
"1645","Uterus",2.494
"1646","Esophagus",0.9929
"1647","Stomach",2.29
"1648","Colon",6.282
"1649","Small Intestine",18.01
"1650","Skin",0.2323
"1651","Pancreas",0.3686
"1652","Thyroid",2.408
"1653","Esophagus",1.337
"1654","Stomach",2.002
"1655","Ovary",1.142
"1656","Colon",1.814
"1657","Small Intestine",8.02
"1658","Skin",0.2199
"1659","Brain",1.763
"1660","Breast",1.722
"1661","Thyroid",5.45
"1662","Pancreas",0.8897
"1663","Skin",0.05387
"1664","Brain",1.297
"1665","Lung",13.59
"1666","Thyroid",2.823
"1667","Skin",0.2493
"1668","Liver",1.535
"1669","Thyroid",1.751
"1670","Lung",3.712
"1671","Esophagus",1.21
"1672","Small Intestine",67.81
"1673","Colon",5.065
"1674","Skin",0.08763
"1675","Thyroid",2.407
"1676","Lung",24.36
"1677","Esophagus",2.442
"1678","Colon",0.8355
"1679","Uterus",3.96
"1680","Skin",0.2995
"1681","Brain",2.732
"1682","Thyroid",6.717
"1683","Esophagus",2.088
"1684","Kidney",2.743
"1685","Colon",3.018
"1686","Skin",0
"1687","Lung",10.57
"1688","Esophagus",1.315
"1689","Prostate",2.863
"1690","Stomach",2.744
"1691","Colon",5.999
"1692","Thyroid",3.143
"1693","Pancreas",0.31
"1694","Skin",0.1784
"1695","Lung",5.612
"1696","Thyroid",3.118
"1697","Esophagus",0.4931
"1698","Skin",0.1811
"1699","Skin",0.2085
"1700","Brain",0.9668
"1701","Esophagus",7.44
"1702","Skin",0.1848
"1703","Esophagus",20.38
"1704","Stomach",2.123
"1705","Colon",11.25
"1706","Skin",0.2754
"1707","Brain",0.4083
"1708","Thyroid",2.633
"1709","Ovary",0.5477
"1710","Skin",0.1038
"1711","Brain",3.02
"1712","Liver",3.058
"1713","Pancreas",0.4135
"1714","Esophagus",1.641
"1715","Kidney",1.954
"1716","Colon",16.53
"1717","Ovary",2.351
"1718","Skin",0.1609
"1719","Thyroid",4.03
"1720","Esophagus",1.254
"1721","Small Intestine",95.78
"1722","Colon",1.366
"1723","Stomach",2.811
"1724","Uterus",2.988
"1725","Skin",0.267
"1726","Brain",2.256
"1727","Thyroid",3.619
"1728","Esophagus",1.729
"1729","Colon",3.155
"1730","Skin",0.2007
"1731","Ovary",0.4088
"1732","Lung",5.657
"1733","Esophagus",2.947
"1734","Breast",1.199
"1735","Skin",0.2904
"1736","Brain",2.21
"1737","Thyroid",2.639
"1738","Lung",11.32
"1739","Pancreas",0.4352
"1740","Breast",10.1
"1741","Liver",3.904
"1742","Esophagus",1.368
"1743","Ovary",2.629
"1744","Uterus",3.291
"1745","Colon",1.629
"1746","Skin",0.2693
"1747","Thyroid",3.578
"1748","Breast",3.107
"1749","Uterus",1.596
"1750","Esophagus",1.93
"1751","Colon",2.571
"1752","Skin",0.2291
"1753","Pancreas",0.9434
"1754","Lung",5.049
"1755","Thyroid",0.9403
"1756","Esophagus",0.784
"1757","Small Intestine",6.58
"1758","Stomach",1.605
"1759","Skin",0.2561
"1760","Colon",18.02
"1761","Esophagus",3.209
"1762","Skin",0.3327
"1763","Thyroid",25.99
"1764","Lung",12.2
"1765","Pancreas",1.427
"1766","Breast",6.858
"1767","Ovary",6.273
"1768","Uterus",3.543
"1769","Esophagus",2.85
"1770","Colon",3.705
"1771","Brain",1.156
"1772","Skin",0.6898
"1773","Thyroid",2.377
"1774","Stomach",4.049
"1775","Breast",1.109
"1776","Colon",1.515
"1777","Skin",0.1947
"1778","Thyroid",2.193
"1779","Lung",3.023
"1780","Esophagus",2.332
"1781","Stomach",1.324
"1782","Small Intestine",8.059
"1783","Colon",1.276
"1784","Skin",0.1597
"1785","Lung",8.186
"1786","Thyroid",2.341
"1787","Esophagus",1.129
"1788","Stomach",2.233
"1789","Colon",13.01
"1790","Skin",0.169
"1791","Thyroid",0.9739
"1792","Pancreas",0.3014
"1793","Esophagus",1.816
"1794","Stomach",1.213
"1795","Colon",2.587
"1796","Prostate",1.214
"1797","Skin",0.2099
"1798","Skin",0.2154
"1799","Thyroid",4.296
"1800","Lung",8.345
"1801","Pancreas",0.4553
"1802","Esophagus",7.397
"1803","Colon",1.136
"1804","Liver",1.872
"1805","Skin",0.201
"1806","Brain",3.814
"1807","Esophagus",2.306
"1808","Lung",11.81
"1809","Liver",1.161
"1810","Thyroid",1.74
"1811","Colon",1.839
"1812","Breast",0.7049
"1813","Skin",0.2181
"1814","Pancreas",0.4775
"1815","Lung",17.21
"1816","Esophagus",2.684
"1817","Colon",7.22
"1818","Thyroid",2.55
"1819","Skin",0.3177
"1820","Esophagus",2.381
"1821","Pancreas",1.078
"1822","Ovary",3.831
"1823","Skin",0.4762
"1824","Brain",1.052
"1825","Thyroid",3.085
"1826","Esophagus",1.434
"1827","Liver",1.357
"1828","Colon",5.583
"1829","Skin",0.1365
"1830","Lung",14.7
"1831","Thyroid",48.48
"1832","Esophagus",0.8763
"1833","Pancreas",0.6603
"1834","Skin",0.2934
"1835","Lung",10.94
"1836","Breast",8.746
"1837","Esophagus",2.537
"1838","Stomach",3.56
"1839","Skin",0.213
"1840","Lung",10.09
"1841","Skin",0.2519
"1842","Liver",1.014
"1843","Skin",0.3646
"1844","Brain",0.1602
"1845","Breast",2.961
"1846","Thyroid",2.345
"1847","Pancreas",0.3256
"1848","Ovary",1.107
"1849","Esophagus",0.7939
"1850","Colon",7.023
"1851","Skin",0.2899
"1852","Breast",1.108
"1853","Pancreas",0.4596
"1854","Esophagus",1.539
"1855","Stomach",3.829
"1856","Colon",1.596
"1857","Skin",0.3146
"1858","Pancreas",0.5453
"1859","Lung",7.2
"1860","Esophagus",2.236
"1861","Skin",0.4364
"1862","Lung",22.64
"1863","Thyroid",5.12
"1864","Esophagus",4.095
"1865","Breast",1.065
"1866","Skin",0.4468
"1867","Uterus",2.735
"1868","Esophagus",12.81
"1869","Small Intestine",152.2
"1870","Skin",0.362
"1871","Thyroid",7.158
"1872","Lung",7.771
"1873","Esophagus",2.118
"1874","Stomach",3.239
"1875","Colon",4.059
"1876","Small Intestine",8.526
"1877","Skin",0.1964
"1878","Thyroid",3.683
"1879","Breast",2.677
"1880","Esophagus",5.886
"1881","Colon",1.287
"1882","Skin",0.2061
"1883","Brain",0.9744
"1884","Thyroid",2.848
"1885","Esophagus",1.207
"1886","Lung",6.762
"1887","Prostate",2.233
"1888","Skin",0.1809
"1889","Thyroid",59.81
"1890","Lung",10.33
"1891","Esophagus",3.093
"1892","Pancreas",1.496
"1893","Kidney",3.145
"1894","Ovary",1.195
"1895","Colon",5.876
"1896","Skin",4.583
"1897","Skin",0.6834
"1898","Thyroid",4.351
"1899","Esophagus",13.44
"1900","Lung",4.013
"1901","Prostate",1.191
"1902","Small Intestine",17.84
"1903","Colon",0.657
"1904","Skin",0.2183
"1905","Lung",10.7
"1906","Thyroid",22.64
"1907","Ovary",1.281
"1908","Uterus",2.965
"1909","Breast",5.172
"1910","Colon",1.2
"1911","Small Intestine",39.43
"1912","Esophagus",1.701
"1913","Stomach",2.081
"1914","Skin",0.4244
"1915","Brain",2.897
"1916","Esophagus",1.088
"1917","Colon",11.71
"1918","Skin",0.172
"1919","Thyroid",3.781
"1920","Esophagus",2.84
"1921","Skin",0.2096
"1922","Thyroid",2.789
"1923","Esophagus",9.033
"1924","Skin",0.2918
"1925","Brain",1.309
"1926","Thyroid",2.602
"1927","Lung",12.45
"1928","Esophagus",2.144
"1929","Prostate",7.274
"1930","Colon",12.84
"1931","Skin",0.3386
"1932","Brain",1.454
"1933","Thyroid",6.741
"1934","Prostate",2.204
"1935","Breast",3.584
"1936","Skin",0.06801
"1937","Brain",1.004
"1938","Thyroid",4.272
"1939","Lung",9.367
"1940","Pancreas",0.2965
"1941","Esophagus",0.644
"1942","Colon",6.146
"1943","Skin",0.4118
"1944","Pancreas",0.4633
"1945","Lung",24.75
"1946","Prostate",2.282
"1947","Esophagus",9.685
"1948","Thyroid",43.18
"1949","Colon",4.264
"1950","Skin",0.3807
"1951","Esophagus",0.8923
"1952","Stomach",1.495
"1953","Colon",3.06
"1954","Breast",1.079
"1955","Prostate",2.968
"1956","Skin",0.1467
"1957","Brain",1.748
"1958","Thyroid",4.24
"1959","Breast",7.034
"1960","Lung",7.59
"1961","Liver",1.461
"1962","Skin",0.3325
"1963","Brain",2.212
"1964","Breast",1.861
"1965","Thyroid",14.66
"1966","Lung",6.391
"1967","Esophagus",0.8858
"1968","Colon",20.42
"1969","Skin",0.3448
"1970","Thyroid",3.09
"1971","Lung",8.001
"1972","Liver",1.455
"1973","Kidney",1.795
"1974","Colon",2.218
"1975","Breast",1.391
"1976","Esophagus",1.893
"1977","Skin",0.3685
"1978","Brain",1.536
"1979","Thyroid",5.526
"1980","Esophagus",1.827
"1981","Kidney",9.225
"1982","Breast",1.952
"1983","Skin",0.1479
"1984","Lung",4.828
"1985","Pancreas",0.2558
"1986","Breast",1.683
"1987","Colon",7.04
"1988","Stomach",3.108
"1989","Esophagus",1.854
"1990","Skin",0.6202
"1991","Thyroid",2.548
"1992","Esophagus",1.958
"1993","Pancreas",0.6764
"1994","Colon",2.009
"1995","Stomach",5.16
"1996","Breast",1.368
"1997","Skin",0.358
"1998","Thyroid",3.779
"1999","Lung",15.72
"2000","Esophagus",1.586
"2001","Colon",6.071
"2002","Thyroid",1.738
"2003","Breast",2.523
"2004","Lung",17.31
"2005","Stomach",2.547
"2006","Colon",13.06
"2007","Skin",1.428
"2008","Skin",0.3329
"2009","Brain",1.486
"2010","Breast",7.983
"2011","Thyroid",18.73
"2012","Lung",2.863
"2013","Colon",1.075
"2014","Skin",0.654
"2015","Thyroid",7.558
"2016","Lung",19.07
"2017","Breast",2.115
"2018","Esophagus",6.218
"2019","Liver",2.261
"2020","Pancreas",0.9892
"2021","Stomach",1.85
"2022","Prostate",4.485
"2023","Colon",5.458
"2024","Skin",0.1711
"2025","Liver",1.406
"2026","Thyroid",3.107
"2027","Pancreas",0.5197
"2028","Lung",12.44
"2029","Esophagus",1.522
"2030","Stomach",5.373
"2031","Prostate",2.69
"2032","Breast",4.88
"2033","Colon",2.208
"2034","Small Intestine",84.4
"2035","Skin",0.3059
"2036","Brain",1.585
"2037","Thyroid",4.732
"2038","Breast",4.584
"2039","Esophagus",1.16
"2040","Kidney",0.5512
"2041","Prostate",2.939
"2042","Skin",0.3692
"2043","Brain",0.6384
"2044","Lung",9.173
"2045","Liver",1.401
"2046","Esophagus",0.6125
"2047","Thyroid",4.308
"2048","Stomach",1.027
"2049","Prostate",3.394
"2050","Colon",4.586
"2051","Skin",0.3453
"2052","Brain",1.718
"2053","Thyroid",3.804
"2054","Breast",3.55
"2055","Esophagus",0.8483
"2056","Lung",9.115
"2057","Stomach",1.668
"2058","Ovary",1.489
"2059","Colon",3.995
"2060","Skin",1.728
"2061","Lung",21.83
"2062","Thyroid",4.583
"2063","Esophagus",1.441
"2064","Stomach",2.384
"2065","Small Intestine",1.93
"2066","Colon",2.788
"2067","Pancreas",0.4291
"2068","Breast",1.87
"2069","Skin",0.1478
"2070","Brain",0.3179
"2071","Breast",1.489
"2072","Thyroid",3.377
"2073","Lung",9.028
"2074","Liver",2.538
"2075","Pancreas",0.8555
"2076","Esophagus",2.139
"2077","Stomach",2.295
"2078","Colon",4.691
"2079","Skin",0.4679
"2080","Esophagus",2.4
"2081","Breast",2.157
"2082","Small Intestine",92.51
"2083","Colon",1.471
"2084","Prostate",3.398
"2085","Skin",0.3243
"2086","Thyroid",2.87
"2087","Lung",5.575
"2088","Breast",1.52
"2089","Esophagus",1.775
"2090","Colon",1.679
"2091","Small Intestine",165
"2092","Skin",0.2373
"2093","Brain",1.942
"2094","Breast",6.834
"2095","Esophagus",4.789
"2096","Ovary",1.808
"2097","Colon",1.474
"2098","Thyroid",4.18
"2099","Brain",1.444
"2100","Skin",0.3473
"2101","Brain",3.509
"2102","Lung",9.984
"2103","Esophagus",2.249
"2104","Thyroid",4.692
"2105","Liver",2.619
"2106","Breast",1.767
"2107","Colon",1.905
"2108","Skin",0.3812
"2109","Thyroid",2.283
"2110","Lung",2.338
"2111","Esophagus",2.331
"2112","Breast",0.5877
"2113","Liver",1.305
"2114","Pancreas",0.7867
"2115","Stomach",3.602
"2116","Prostate",6.734
"2117","Colon",6.673
"2118","Small Intestine",56.23
"2119","Skin",0.3972
"2120","Thyroid",5.616
"2121","Lung",8.201
"2122","Pancreas",0.799
"2123","Esophagus",0.6489
"2124","Colon",1.092
"2125","Stomach",3.17
"2126","Skin",0.1875
"2127","Brain",1.339
"2128","Thyroid",3.502
"2129","Lung",12.26
"2130","Breast",4.134
"2131","Esophagus",2.349
"2132","Pancreas",0.3654
"2133","Liver",2.368
"2134","Colon",1.591
"2135","Skin",0.2493
"2136","Breast",3.8
"2137","Thyroid",3.896
"2138","Lung",9.298
"2139","Liver",1.961
"2140","Pancreas",0.3637
"2141","Colon",1.179
"2142","Esophagus",2.073
"2143","Ovary",1.448
"2144","Stomach",1.488
"2145","Skin",0.2698
"2146","Colon",1.973
"2147","Breast",4.976
"2148","Thyroid",2.532
"2149","Lung",9.867
"2150","Esophagus",0.6684
"2151","Stomach",3.788
"2152","Ovary",2.256
"2153","Colon",7.909
"2154","Skin",3.387
"2155","Breast",1.088
"2156","Skin",0.158
"2157","Thyroid",2.22
"2158","Lung",7.884
"2159","Liver",1.146
"2160","Esophagus",3.02
"2161","Stomach",0.7984
"2162","Colon",1.153
"2163","Skin",4.41
"2164","Lung",9.952
"2165","Thyroid",3.287
"2166","Pancreas",1.016
"2167","Esophagus",1.689
"2168","Colon",11.28
"2169","Skin",0.1545
"2170","Thyroid",2.515
"2171","Breast",2.321
"2172","Lung",9.666
"2173","Esophagus",1.716
"2174","Stomach",2.799
"2175","Colon",1.117
"2176","Small Intestine",174.9
"2177","Prostate",3.123
"2178","Skin",0.3113
"2179","Brain",0.2976
"2180","Lung",4.359
"2181","Liver",0.9963
"2182","Esophagus",1.019
"2183","Colon",0.8027
"2184","Ovary",1.081
"2185","Uterus",1.664
"2186","Skin",0.2534
"2187","Thyroid",3.945
"2188","Lung",7.426
"2189","Prostate",2.933
"2190","Colon",8.265
"2191","Stomach",3.259
"2192","Esophagus",2.455
"2193","Breast",1.491
"2194","Skin",0.1805
"2195","Pancreas",0.2165
"2196","Kidney",7.345
"2197","Skin",0.2977
"2198","Brain",1.052
"2199","Stomach",10.84
"2200","Colon",0.6782
"2201","Breast",0.6266
"2202","Skin",0.4416
"2203","Thyroid",4.724
"2204","Lung",6.642
"2205","Liver",1.169
"2206","Esophagus",4.464
"2207","Pancreas",0.8168
"2208","Kidney",0.9555
"2209","Ovary",4.056
"2210","Uterus",2.23
"2211","Skin",0.4265
"2212","Brain",0.4286
"2213","Thyroid",3.973
"2214","Lung",13.31
"2215","Esophagus",0.7289
"2216","Stomach",4.148
"2217","Skin",0.2881
"2218","Brain",0.6741
"2219","Thyroid",4.718
"2220","Liver",4.266
"2221","Breast",1.135
"2222","Skin",0.383
"2223","Thyroid",3.585
"2224","Esophagus",2.418
"2225","Uterus",1.541
"2226","Ovary",1.338
"2227","Breast",1.165
"2228","Stomach",2.891
